"circuito" "MESA"
"1066" "018G" 1066
"1067" "018G" 1067
"1068" "018G" 1068
"1069" "018G" 1069
"1070" "018G" 1070
"1071" "018G" 1071
"1072" "018G" 1072
"1073" "0019" 1073
"1074" "0019" 1074
"1075" "0019" 1075
"1076" "0019" 1076
"1077" "0019" 1077
"1078" "0019" 1078
"1079" "0019" 1079
"1080" "0019" 1080
"1081" "0019" 1081
"1082" "0019" 1082
"1083" "0019" 1083
"1084" "0019" 1084
"1085" "0019" 1085
"1086" "0019" 1086
"1087" "0019" 1087
"1088" "0019" 1088
"1089" "0019" 1089
"1090" "0019" 1090
"1091" "0019" 1091
"1092" "0019" 1092
"1093" "0019" 1093
"1094" "0019" 1094
"1095" "0019" 1095
"1096" "0019" 1096
"1097" "0019" 1097
"1098" "0019" 1098
"1099" "0019" 1099
"1100" "0019" 1100
"1101" "0019" 1101
"1102" "0019" 1102
"1103" "0019" 1103
"1104" "0019" 1104
"1105" "0019" 1105
"1106" "0019" 1106
"1107" "0019" 1107
"1108" "0019" 1108
"1109" "0019" 1109
"1110" "0019" 1110
"1111" "0019" 1111
"1112" "0019" 1112
"1113" "0019" 1113
"1114" "0019" 1114
"1115" "0019" 1115
"1116" "019A" 1116
"1117" "019A" 1117
"1118" "019A" 1118
"1119" "019A" 1119
"1120" "019A" 1120
"1121" "019A" 1121
"1122" "019A" 1122
"1123" "019A" 1123
"1124" "019A" 1124
"1125" "019A" 1125
"1126" "019A" 1126
"1127" "019A" 1127
"1128" "019A" 1128
"1129" "019A" 1129
"1130" "019A" 1130
"1131" "019A" 1131
"1132" "019A" 1132
"1133" "019A" 1133
"1134" "019A" 1134
"1135" "019A" 1135
"1136" "019A" 1136
"1137" "019A" 1137
"1138" "019A" 1138
"1139" "019A" 1139
"1140" "019A" 1140
"1141" "019A" 1141
"1142" "019A" 1142
"1143" "019A" 1143
"1144" "019A" 1144
"1145" "019A" 1145
"1146" "0020" 1146
"1147" "0020" 1147
"1148" "0020" 1148
"1149" "0020" 1149
"1150" "0020" 1150
"1151" "0020" 1151
"1152" "0020" 1152
"1153" "0020" 1153
"1154" "0020" 1154
"1155" "0020" 1155
"1156" "0020" 1156
"1157" "0020" 1157
"1158" "0020" 1158
"1159" "0020" 1159
"1160" "0020" 1160
"1161" "0020" 1161
"1162" "0020" 1162
"1163" "0020" 1163
"1164" "0020" 1164
"1165" "0020" 1165
"1166" "0020" 1166
"1167" "0020" 1167
"1168" "0020" 1168
"1169" "0020" 1169
"1170" "0020" 1170
"1171" "0020" 1171
"1172" "0020" 1172
"1173" "0020" 1173
"1174" "0020" 1174
"1175" "0020" 1175
"1176" "0020" 1176
"1177" "0020" 1177
"1178" "0020" 1178
"1179" "0020" 1179
"1180" "0020" 1180
"1181" "0020" 1181
"1182" "0020" 1182
"1183" "0020" 1183
"1184" "0020" 1184
"1185" "0020" 1185
"1186" "0020" 1186
"1187" "0020" 1187
"1188" "0020" 1188
"1189" "0020" 1189
"1190" "0020" 1190
"1191" "0020" 1191
"1192" "0020" 1192
"1193" "0020" 1193
"1194" "0020" 1194
"1195" "0020" 1195
"1196" "0020" 1196
"1197" "0020" 1197
"1198" "0020" 1198
"1199" "0020" 1199
"1200" "0020" 1200
"1201" "0020" 1201
"1202" "0020" 1202
"1203" "0020" 1203
"1204" "0020" 1204
"1205" "0020" 1205
"1206" "0020" 1206
"1207" "0020" 1207
"1208" "0020" 1208
"1209" "0020" 1209
"1210" "0020" 1210
"1211" "0020" 1211
"1212" "0020" 1212
"1213" "0020" 1213
"1214" "0020" 1214
"1215" "0021" 1215
"1216" "0021" 1216
"1217" "0021" 1217
"1218" "0021" 1218
"1219" "0021" 1219
"1220" "0021" 1220
"1221" "0021" 1221
"1222" "0021" 1222
"1223" "0021" 1223
"1224" "0021" 1224
"1225" "0021" 1225
"1226" "0021" 1226
"1227" "0021" 1227
"1228" "0021" 1228
"1229" "0021" 1229
"1230" "0021" 1230
"1231" "0021" 1231
"1232" "0021" 1232
"1233" "0021" 1233
"1234" "0021" 1234
"1235" "0021" 1235
"1236" "0021" 1236
"1237" "0021" 1237
"1238" "0021" 1238
"1239" "0021" 1239
"1240" "0021" 1240
"1241" "0021" 1241
"1242" "0021" 1242
"1243" "0021" 1243
"1244" "0021" 1244
"1245" "0021" 1245
"1246" "0021" 1246
"1247" "0021" 1247
"1248" "0021" 1248
"1249" "0021" 1249
"1250" "0021" 1250
"1251" "0021" 1251
"1252" "0021" 1252
"1253" "0021" 1253
"1254" "0021" 1254
"1255" "0021" 1255
"1256" "0021" 1256
"1257" "0021" 1257
"1258" "0021" 1258
"1259" "0021" 1259
"1260" "0021" 1260
"1261" "0021" 1261
"1262" "0021" 1262
"1263" "0021" 1263
"1264" "0021" 1264
"1265" "0021" 1265
"1266" "0021" 1266
"1267" "0021" 1267
"1268" "0021" 1268
"1269" "0021" 1269
"1270" "0022" 1270
"1271" "0022" 1271
"1272" "0022" 1272
"1273" "0022" 1273
"1274" "0022" 1274
"1275" "0022" 1275
"1276" "0022" 1276
"1277" "0022" 1277
"1278" "0022" 1278
"1279" "0022" 1279
"1280" "0022" 1280
"1281" "0022" 1281
"1282" "0022" 1282
"1283" "0022" 1283
"1284" "0022" 1284
"1285" "0022" 1285
"1286" "0022" 1286
"1287" "0022" 1287
"1288" "0022" 1288
"1289" "0022" 1289
"1290" "0023" 1290
"1291" "0023" 1291
"1292" "0023" 1292
"1293" "0023" 1293
"1294" "0023" 1294
"1295" "0023" 1295
"1296" "0023" 1296
"1297" "0024" 1297
"1298" "0024" 1298
"1299" "0024" 1299
"1300" "0024" 1300
"1301" "0024" 1301
"1302" "0024" 1302
"1303" "0024" 1303
"1304" "0024" 1304
"1305" "0024" 1305
"1306" "0024" 1306
"1307" "0024" 1307
"1308" "0024" 1308
"1309" "0024" 1309
"1310" "0024" 1310
"1311" "0024" 1311
"1312" "0024" 1312
"1313" "0024" 1313
"1314" "0024" 1314
"1315" "0024" 1315
"1316" "0024" 1316
"1317" "0024" 1317
"1318" "0024" 1318
"1319" "0024" 1319
"1320" "0024" 1320
"1321" "0024" 1321
"1322" "0024" 1322
"1323" "0024" 1323
"1324" "0024" 1324
"1325" "0024" 1325
"1326" "0024" 1326
